last_name,Goals,Assists,Yel,Red,ShotsPerGame,PassPercent
Januzaj,4,3,7,0,1.7,81.6
Young,2,1,4,0,0.9,79.2
Welbeck,9,1,2,0,1.8,87.4
Fletcher,0,0,0,0,0.4,89.1
De Gea,0,0,1,0,0,55.7
Hernandez,4,2,2,0,0.9,86.2
Evans,0,0,0,0,0.4,87.3
Mata,6,4,0,0,1.9,89
Fellaini,0,1,2,0,1.6,88.5
Carrick,1,0,5,0,0.6,88.6
Jones,1,2,5,0,0.5,88.3
Van Persie,12,3,2,0,3,76.7
Kagawa,0,3,0,0,0.8,87
Rooney,17,10,8,0,3.5,80.1
