last_name,Goals,Assists,Yel,Red,ShotsPerGame,PassPercent
Benatia,5,0,8,0,0.6,88.5
Falcao,9,0,5,0,2.9,84.7
Lewandowski,20,6,3,0,3.5,72.3
Luis,0,2,6,1,0.4,80.1
Rodriguez,7,11,1,0,2.6,81.1
Suarez,31,12,6,0,5.5,74.8
